4,2,2,6,MKT-22003
6,6,6,6,MKT-22004
6,6,6,6,MKT-22005
4,5,5,5,MKT-22006
6,6,6,6,MKT-22007
6,6,6,6,MKT-22008
6,6,6,6,MKT-22009
6,6,6,6,MKT-22011
6,6,6,6,MKT-22012
6,6,6,6,MKT-22013
4,5,5,5,MKT-22015
5,6,6,5,MKT-22016
6,6,6,6,MKT-22017
5,6,6,6,MKT-22018
6,6,6,6,MKT-22019
6,6,6,6,MKT-22020
5,1,6,3,MKT-22022
6,6,6,6,MKT-22023
6,6,6,6,MKT-22025
5,6,5,6,MKT-22027
6,3,6,6,MKT-22028
6,6,6,6,MKT-22029
6,6,4,5,MKT-22030
6,6,6,6,MKT-22032
6,6,6,6,MKT-22033
6,6,6,6,MKT-22034
6,5,5,6,MKT-22035
6,5,5,6,MKT-22036
4,5,5,5,MKT-22037
6,6,6,5,MKT-22038
5,5,6,5,MKT-22039
4,5,2,6,MKT-22040
6,6,6,6,MKT-22042
6,6,6,6,MKT-22043
6,6,6,6,MKT-22044
6,6,6,6,MKT-22045
6,6,6,6,MKT-22046
6,6,6,6,MKT-22047
6,6,4,6,MKT-22048
4,5,5,5,MKT-22049
5,6,5,6,MKT-22050
5,6,6,6,MKT-22051
6,6,6,6,MKT-22054
6,6,4,5,MKT-22055
6,6,6,6,MKT-22056
4,3,4,6,MKT-22058
6,6,6,6,MKT-22059
6,3,6,6,MKT-22060
6,3,6,4,MKT-22062
6,6,6,6,MKT-22063
6,6,6,6,MKT-22064
6,6,6,6,MKT-22065
6,6,6,6,MKT-22066
6,3,6,6,MKT-22067
6,6,6,6,MKT-22069
4,5,5,6,MKT-22071
6,6,6,6,MKT-22072
5,5,2,5,MKT-22073
6,6,6,6,MKT-22074
6,6,6,6,MKT-22075
5,6,6,4,MKT-22077
5,6,6,4,MKT-22078
6,6,6,6,MKT-22079
6,3,6,6,MKT-22080
6,6,6,6,MKT-22081
5,5,5,4,MKT-22083
5,3,6,6,MKT-22084
6,6,4,6,MKT-22085
6,6,6,6,MKT-22086
6,6,6,6,MKT-22087
6,6,6,6,MKT-22088
6,6,6,6,MKT-22089
5,5,5,6,MKT-22090
6,6,6,6,MKT-22091
4,5,2,6,MKT-22093
5,5,6,5,MKT-22094
5,6,6,4,MKT-22096
6,3,6,4,MKT-22097
6,6,6,6,MKT-22098
4,5,2,6,MKT-22099
6,6,6,6,MKT-22100
6,6,6,6,MKT-22101
6,5,6,6,MKT-22102
6,6,6,6,MKT-22103
5,5,5,5,MKT-22104
6,4,6,6,MKT-22105
6,6,6,6,MKT-22106
5,5,6,5,MKT-22107
4,5,5,5,MKT-22108
6,6,6,6,MKT-22109
6,6,6,6,MKT-22110
6,6,6,6,MKT-22111
6,6,6,6,MKT-22113
6,6,4,5,MKT-22115
6,6,6,6,MKT-22116
6,6,6,6,MKT-22117
6,6,6,6,MKT-22118
4,5,5,5,MKT-22119
6,6,6,6,MKT-22120
6,6,4,6,MKT-22121
6,6,6,6,MKT-22122
6,6,6,6,MKT-22124
6,3,6,6,MKT-22125
4,3,4,6,MKT-22126
6,6,6,6,MKT-22127
6,4,4,5,MKT-22129
5,5,6,6,MKT-22130
6,6,6,6,MKT-22131
6,6,6,6,MKT-22132
6,5,6,6,MKT-22133
5,5,6,5,MKT-22134
6,6,6,6,MKT-22135
6,6,6,6,MKT-22137
5,5,6,6,MKT-22138
6,6,6,6,MKT-22139
6,6,6,6,MKT-22142
6,6,6,6,MKT-22143
6,6,4,5,MKT-22144
6,6,6,6,MKT-22145
5,6,6,6,MKT-22146
6,6,6,6,MKT-22147
3,5,4,5,MKT-22148
4,5,5,5,MKT-22149
6,6,6,6,MKT-22150
5,5,5,6,MKT-22151
6,6,6,6,MKT-22153
6,6,6,6,MKT-22154
4,5,2,2,MKT-22155
6,6,6,6,MKT-22158
5,6,6,6,MKT-22159
6,5,5,6,MKT-22160
6,3,6,6,MKT-22161
