,0,1,2,3,4
0,MKT-22003,2,7,26,32
1,MKT-22004,27,38,44,46
2,MKT-22005,28,33,35,39
3,MKT-22006,33,35,36,57
4,MKT-22007,26,36,37,58
5,MKT-22008,28,35,37,43
6,MKT-22009,39,44,46,54
7,MKT-22011,12,27,38,55
8,MKT-22012,44,51,55,56
9,MKT-22013,33,39,43,58
10,MKT-22015,6,10,36,57
11,MKT-22016,17,35,42,53
12,MKT-22017,41,47,54,56
13,MKT-22018,34,39,45,47
14,MKT-22019,14,40,42,50
15,MKT-22020,38,44,46,52
16,MKT-22022,14,42,50,57
17,MKT-22023,27,38,44,51
18,MKT-22025,12,44,46,52
19,MKT-22027,15,17,35,53
20,MKT-22028,14,42,50,59
21,MKT-22029,9,44,52,55
22,MKT-22030,13,49,54,56
23,MKT-22032,39,44,52,55
24,MKT-22033,13,29,45,54
25,MKT-22034,26,36,37,39
26,MKT-22035,2,19,31,43
27,MKT-22036,2,19,31,43
28,MKT-22037,6,10,35,36
29,MKT-22038,15,17,35,53
30,MKT-22039,4,26,28,33
31,MKT-22040,2,13,32,40
32,MKT-22042,38,46,51,55
33,MKT-22043,33,36,37,43
34,MKT-22044,17,29,35,47
35,MKT-22045,28,36,43,58
36,MKT-22046,9,46,54,55
37,MKT-22047,36,41,45,56
38,MKT-22048,47,51,54,55
39,MKT-22049,6,10,31,36
40,MKT-22050,15,17,35,53
41,MKT-22051,34,41,45,54
42,MKT-22054,13,29,41,45
43,MKT-22055,13,49,54,56
44,MKT-22056,7,41,45,56
45,MKT-22058,4,21,39,57
46,MKT-22059,28,36,37,43
47,MKT-22060,14,42,50,59
48,MKT-22062,13,14,21,42
49,MKT-22063,45,48,53,61
50,MKT-22064,29,41,45,56
51,MKT-22065,33,37,43,58
52,MKT-22066,12,39,44,51
53,MKT-22067,13,14,42,50
54,MKT-22069,27,39,46,54
55,MKT-22071,6,12,13,40
56,MKT-22072,38,41,52,55
57,MKT-22073,2,19,32,36
58,MKT-22074,29,45,47,56
59,MKT-22075,17,35,43,53
60,MKT-22077,34,36,45,56
61,MKT-22078,13,14,42,59
62,MKT-22079,15,17,40,53
63,MKT-22080,14,21,42,50
64,MKT-22081,28,35,43,53
65,MKT-22083,4,7,45,48
66,MKT-22084,21,42,50,59
67,MKT-22085,42,45,54,56
68,MKT-22086,12,39,46,51
69,MKT-22087,26,33,39,53
70,MKT-22088,35,41,45,53
71,MKT-22089,26,36,43,53
72,MKT-22090,4,26,28,33
73,MKT-22091,38,46,52,54
74,MKT-22093,2,13,32,40
75,MKT-22094,10,31,36,37
76,MKT-22096,34,45,54,56
77,MKT-22097,13,14,42,59
78,MKT-22098,2,17,35,43
79,MKT-22099,2,13,32,40
80,MKT-22100,37,45,48,53
81,MKT-22101,38,44,51,52
82,MKT-22102,28,36,39,43
83,MKT-22103,39,45,48,61
84,MKT-22104,6,10,36,37
85,MKT-22105,14,42,50,59
86,MKT-22106,12,44,51,52
87,MKT-22107,4,26,28,33
88,MKT-22108,19,36,37,57
89,MKT-22109,27,46,52,54
90,MKT-22110,41,43,56,58
91,MKT-22111,33,39,43,50
92,MKT-22113,27,46,52,54
93,MKT-22115,13,49,54,56
94,MKT-22116,12,39,46,51
95,MKT-22117,33,36,37,39
96,MKT-22118,43,44,55,61
97,MKT-22119,10,35,36,37
98,MKT-22120,17,35,39,53
99,MKT-22121,42,50,53,61
100,MKT-22122,9,44,52,55
101,MKT-22124,29,39,47,53
102,MKT-22125,14,21,42,50
103,MKT-22126,4,21,39,57
104,MKT-22127,9,46,54,55
105,MKT-22129,13,49,54,56
106,MKT-22130,28,33,37,58
107,MKT-22131,17,35,43,53
108,MKT-22132,28,33,43,58
109,MKT-22133,15,17,35,53
110,MKT-22134,15,26,28,33
111,MKT-22135,28,33,35,37
112,MKT-22137,33,35,37,58
113,MKT-22138,28,33,37,58
114,MKT-22139,28,37,53,58
115,MKT-22142,7,41,45,56
116,MKT-22143,14,40,42,50
117,MKT-22144,13,49,54,56
118,MKT-22145,28,35,37,43
119,MKT-22146,45,48,53,61
120,MKT-22147,28,33,37,53
121,MKT-22148,7,34,45,48
122,MKT-22149,6,31,33,36
123,MKT-22150,9,46,54,55
124,MKT-22151,14,19,32,42
125,MKT-22153,9,46,54,55
126,MKT-22154,38,46,51,55
127,MKT-22155,2,7,13,49
128,MKT-22158,28,33,37,39
129,MKT-22159,34,45,48,61
130,MKT-22160,2,19,31,43
131,MKT-22161,13,14,42,50
