,0,1
0,2,"2, MKT-22003, MKT-22035, MKT-22036, MKT-22040, MKT-22073, MKT-22093, MKT-22098, MKT-22099, MKT-22155, MKT-22160"
1,4,"4, MKT-22039, MKT-22058, MKT-22083, MKT-22090, MKT-22107, MKT-22126"
2,6,"6, MKT-22015, MKT-22037, MKT-22049, MKT-22071, MKT-22104, MKT-22149"
3,7,"7, MKT-22003, MKT-22056, MKT-22083, MKT-22142, MKT-22148, MKT-22155"
4,9,"9, MKT-22029, MKT-22046, MKT-22122, MKT-22127, MKT-22150, MKT-22153"
5,10,"10, MKT-22015, MKT-22037, MKT-22049, MKT-22094, MKT-22104, MKT-22119"
6,12,"12, MKT-22011, MKT-22025, MKT-22066, MKT-22071, MKT-22086, MKT-22106, MKT-22116"
7,13,"13, MKT-22030, MKT-22033, MKT-22040, MKT-22054, MKT-22055, MKT-22062, MKT-22067, MKT-22071, MKT-22078, MKT-22093, MKT-22097, MKT-22099, MKT-22115, MKT-22129, MKT-22144, MKT-22155, MKT-22161"
8,14,"14, MKT-22019, MKT-22022, MKT-22028, MKT-22060, MKT-22062, MKT-22067, MKT-22078, MKT-22080, MKT-22097, MKT-22105, MKT-22125, MKT-22143, MKT-22151, MKT-22161"
9,15,"15, MKT-22027, MKT-22038, MKT-22050, MKT-22079, MKT-22133, MKT-22134"
10,17,"17, MKT-22016, MKT-22027, MKT-22038, MKT-22044, MKT-22050, MKT-22075, MKT-22079, MKT-22098, MKT-22120, MKT-22131, MKT-22133"
11,19,"19, MKT-22035, MKT-22036, MKT-22073, MKT-22108, MKT-22151, MKT-22160"
12,21,"21, MKT-22058, MKT-22062, MKT-22080, MKT-22084, MKT-22125, MKT-22126"
13,26,"26, MKT-22003, MKT-22007, MKT-22034, MKT-22039, MKT-22087, MKT-22089, MKT-22090, MKT-22107, MKT-22134"
14,27,"27, MKT-22004, MKT-22011, MKT-22023, MKT-22069, MKT-22109, MKT-22113"
15,28,"28, MKT-22005, MKT-22008, MKT-22039, MKT-22045, MKT-22059, MKT-22081, MKT-22090, MKT-22102, MKT-22107, MKT-22130, MKT-22132, MKT-22134, MKT-22135, MKT-22138, MKT-22139, MKT-22145, MKT-22147, MKT-22158"
16,29,"29, MKT-22033, MKT-22044, MKT-22054, MKT-22064, MKT-22074, MKT-22124"
17,31,"31, MKT-22035, MKT-22036, MKT-22049, MKT-22094, MKT-22149, MKT-22160"
18,32,"32, MKT-22003, MKT-22040, MKT-22073, MKT-22093, MKT-22099, MKT-22151"
19,33,"33, MKT-22005, MKT-22006, MKT-22013, MKT-22039, MKT-22043, MKT-22065, MKT-22087, MKT-22090, MKT-22107, MKT-22111, MKT-22117, MKT-22130, MKT-22132, MKT-22134, MKT-22135, MKT-22137, MKT-22138, MKT-22147, MKT-22149, MKT-22158"
20,34,"34, MKT-22018, MKT-22051, MKT-22077, MKT-22096, MKT-22148, MKT-22159"
21,35,"35, MKT-22005, MKT-22006, MKT-22008, MKT-22016, MKT-22027, MKT-22037, MKT-22038, MKT-22044, MKT-22050, MKT-22075, MKT-22081, MKT-22088, MKT-22098, MKT-22119, MKT-22120, MKT-22131, MKT-22133, MKT-22135, MKT-22137, MKT-22145"
22,36,"36, MKT-22006, MKT-22007, MKT-22015, MKT-22034, MKT-22037, MKT-22043, MKT-22045, MKT-22047, MKT-22049, MKT-22059, MKT-22073, MKT-22077, MKT-22089, MKT-22094, MKT-22102, MKT-22104, MKT-22108, MKT-22117, MKT-22119, MKT-22149"
23,37,"37, MKT-22007, MKT-22008, MKT-22034, MKT-22043, MKT-22059, MKT-22065, MKT-22094, MKT-22100, MKT-22104, MKT-22108, MKT-22117, MKT-22119, MKT-22130, MKT-22135, MKT-22137, MKT-22138, MKT-22139, MKT-22145, MKT-22147, MKT-22158"
24,38,"38, MKT-22004, MKT-22011, MKT-22020, MKT-22023, MKT-22042, MKT-22072, MKT-22091, MKT-22101, MKT-22154"
25,39,"39, MKT-22005, MKT-22009, MKT-22013, MKT-22018, MKT-22032, MKT-22034, MKT-22058, MKT-22066, MKT-22069, MKT-22086, MKT-22087, MKT-22102, MKT-22103, MKT-22111, MKT-22116, MKT-22117, MKT-22120, MKT-22124, MKT-22126, MKT-22158"
26,40,"40, MKT-22019, MKT-22040, MKT-22071, MKT-22079, MKT-22093, MKT-22099, MKT-22143"
27,41,"41, MKT-22017, MKT-22047, MKT-22051, MKT-22054, MKT-22056, MKT-22064, MKT-22072, MKT-22088, MKT-22110, MKT-22142"
28,42,"42, MKT-22016, MKT-22019, MKT-22022, MKT-22028, MKT-22060, MKT-22062, MKT-22067, MKT-22078, MKT-22080, MKT-22084, MKT-22085, MKT-22097, MKT-22105, MKT-22121, MKT-22125, MKT-22143, MKT-22151, MKT-22161"
29,43,"43, MKT-22008, MKT-22013, MKT-22035, MKT-22036, MKT-22043, MKT-22045, MKT-22059, MKT-22065, MKT-22075, MKT-22081, MKT-22089, MKT-22098, MKT-22102, MKT-22110, MKT-22111, MKT-22118, MKT-22131, MKT-22132, MKT-22145, MKT-22160"
30,44,"44, MKT-22004, MKT-22009, MKT-22012, MKT-22020, MKT-22023, MKT-22025, MKT-22029, MKT-22032, MKT-22066, MKT-22101, MKT-22106, MKT-22118, MKT-22122"
31,45,"45, MKT-22018, MKT-22033, MKT-22047, MKT-22051, MKT-22054, MKT-22056, MKT-22063, MKT-22064, MKT-22074, MKT-22077, MKT-22083, MKT-22085, MKT-22088, MKT-22096, MKT-22100, MKT-22103, MKT-22142, MKT-22146, MKT-22148, MKT-22159"
32,46,"46, MKT-22004, MKT-22009, MKT-22020, MKT-22025, MKT-22042, MKT-22046, MKT-22069, MKT-22086, MKT-22091, MKT-22109, MKT-22113, MKT-22116, MKT-22127, MKT-22150, MKT-22153, MKT-22154"
33,47,"47, MKT-22017, MKT-22018, MKT-22044, MKT-22048, MKT-22074, MKT-22124"
34,48,"48, MKT-22063, MKT-22083, MKT-22100, MKT-22103, MKT-22146, MKT-22148, MKT-22159"
35,49,"49, MKT-22030, MKT-22055, MKT-22115, MKT-22129, MKT-22144, MKT-22155"
36,50,"50, MKT-22019, MKT-22022, MKT-22028, MKT-22060, MKT-22067, MKT-22080, MKT-22084, MKT-22105, MKT-22111, MKT-22121, MKT-22125, MKT-22143, MKT-22161"
37,51,"51, MKT-22012, MKT-22023, MKT-22042, MKT-22048, MKT-22066, MKT-22086, MKT-22101, MKT-22106, MKT-22116, MKT-22154"
38,52,"52, MKT-22020, MKT-22025, MKT-22029, MKT-22032, MKT-22072, MKT-22091, MKT-22101, MKT-22106, MKT-22109, MKT-22113, MKT-22122"
39,53,"53, MKT-22016, MKT-22027, MKT-22038, MKT-22050, MKT-22063, MKT-22075, MKT-22079, MKT-22081, MKT-22087, MKT-22088, MKT-22089, MKT-22100, MKT-22120, MKT-22121, MKT-22124, MKT-22131, MKT-22133, MKT-22139, MKT-22146, MKT-22147"
40,54,"54, MKT-22009, MKT-22017, MKT-22030, MKT-22033, MKT-22046, MKT-22048, MKT-22051, MKT-22055, MKT-22069, MKT-22085, MKT-22091, MKT-22096, MKT-22109, MKT-22113, MKT-22115, MKT-22127, MKT-22129, MKT-22144, MKT-22150, MKT-22153"
41,55,"55, MKT-22011, MKT-22012, MKT-22029, MKT-22032, MKT-22042, MKT-22046, MKT-22048, MKT-22072, MKT-22118, MKT-22122, MKT-22127, MKT-22150, MKT-22153, MKT-22154"
42,56,"56, MKT-22012, MKT-22017, MKT-22030, MKT-22047, MKT-22055, MKT-22056, MKT-22064, MKT-22074, MKT-22077, MKT-22085, MKT-22096, MKT-22110, MKT-22115, MKT-22129, MKT-22142, MKT-22144"
43,57,"57, MKT-22006, MKT-22015, MKT-22022, MKT-22058, MKT-22108, MKT-22126"
44,58,"58, MKT-22007, MKT-22013, MKT-22045, MKT-22065, MKT-22110, MKT-22130, MKT-22132, MKT-22137, MKT-22138, MKT-22139"
45,59,"59, MKT-22028, MKT-22060, MKT-22078, MKT-22084, MKT-22097, MKT-22105"
46,61,"61, MKT-22063, MKT-22103, MKT-22118, MKT-22121, MKT-22146, MKT-22159"
