PSS ID,CATEGORY
MKT-22003,1
MKT-22004,2
MKT-22005,1
MKT-22006,1
MKT-22007,1
MKT-22008,1
MKT-22009,2
MKT-22011,2
MKT-22012,2
MKT-22013,1
MKT-22015,1
MKT-22016,2
MKT-22017,2
MKT-22018,2
MKT-22019,2
MKT-22020,2
MKT-22022,2
MKT-22023,2
MKT-22025,2
MKT-22027,1
MKT-22028,3
MKT-22029,2
MKT-22030,2
MKT-22032,2
MKT-22033,2
MKT-22034,1
MKT-22035,2
MKT-22036,1
MKT-22037,1
MKT-22038,1
MKT-22039,1
MKT-22040,2
MKT-22042,2
MKT-22043,1
MKT-22044,1
MKT-22045,1
MKT-22046,2
MKT-22047,1
MKT-22048,2
MKT-22049,1
MKT-22050,1
MKT-22051,2
MKT-22054,2
MKT-22055,2
MKT-22056,1
MKT-22058,1
MKT-22059,1
MKT-22060,3
MKT-22062,3
MKT-22063,1
MKT-22064,1
MKT-22065,1
MKT-22066,2
MKT-22067,2
MKT-22069,2
MKT-22071,2
MKT-22072,2
MKT-22073,1
MKT-22074,1
MKT-22075,2
MKT-22077,2
MKT-22078,2
MKT-22079,2
MKT-22080,2
MKT-22081,1
MKT-22083,1
MKT-22084,2
MKT-22085,2
MKT-22086,2
MKT-22087,1
MKT-22088,2
MKT-22089,1
MKT-22090,1
MKT-22091,2
MKT-22093,2
MKT-22094,1
MKT-22096,2
MKT-22097,2
MKT-22098,1
MKT-22099,2
MKT-22100,1
MKT-22101,2
MKT-22102,2
MKT-22103,1
MKT-22104,1
MKT-22105,2
MKT-22106,2
MKT-22107,1
MKT-22108,1
MKT-22109,2
MKT-22110,1
MKT-22111,1
MKT-22113,2
MKT-22115,2
MKT-22116,2
MKT-22117,1
MKT-22118,2
MKT-22119,1
MKT-22120,1
MKT-22121,2
MKT-22122,2
MKT-22124,2
MKT-22125,2
MKT-22126,1
MKT-22127,2
MKT-22129,2
MKT-22130,1
MKT-22131,1
MKT-22132,1
MKT-22133,1
MKT-22134,1
MKT-22135,1
MKT-22137,1
MKT-22138,1
MKT-22139,1
MKT-22142,1
MKT-22143,2
MKT-22144,2
MKT-22145,1
MKT-22146,1
MKT-22147,1
MKT-22148,2
MKT-22149,1
MKT-22150,2
MKT-22151,2
MKT-22153,2
MKT-22154,2
MKT-22155,2
MKT-22158,1
MKT-22159,2
MKT-22160,1
MKT-22161,2
