PSS ID;CATEGORY LIST
MKT-22003;[11]
MKT-22004;[3,7]
MKT-22005;[3,4]
MKT-22006;[4]
MKT-22007;[4,6]
MKT-22008;[3,4]
MKT-22009;[3]
MKT-22011;[3]
MKT-22012;[1,3,7]
MKT-22013;[2,4]
MKT-22015;[4]
MKT-22016;[6,9,12]
MKT-22017;[1,3]
MKT-22018;[1,4,5]
MKT-22019;[11,13]
MKT-22020;[3]
MKT-22022;[9]
MKT-22023;[3,6]
MKT-22025;[3,7]
MKT-22027;[6]
MKT-22028;[13]
MKT-22029;[3]
MKT-22030;[1]
MKT-22032;[3]
MKT-22033;[1]
MKT-22034;[4,6,10]
MKT-22035;[10]
MKT-22036;[10,11]
MKT-22037;[4]
MKT-22038;[6,8,12]
MKT-22039;[4,6]
MKT-22040;[11]
MKT-22042;[3,7]
MKT-22043;[4,6,10]
MKT-22044;[1,6]
MKT-22045;[2,4,10]
MKT-22046;[3]
MKT-22047;[1,4]
MKT-22048;[1,3,6]
MKT-22049;[4]
MKT-22050;[6]
MKT-22051;[1,4]
MKT-22054;[1,10]
MKT-22055;[1]
MKT-22056;[1,4]
MKT-22058;[3]
MKT-22059;[3,4]
MKT-22060;[13]
MKT-22062;[13]
MKT-22063;[2,5,6]
MKT-22064;[1]
MKT-22065;[4,6]
MKT-22066;[3,7]
MKT-22067;[9,13]
MKT-22069;[3,6]
MKT-22071;[7,11]
MKT-22072;[1,3,5]
MKT-22073;[8]
MKT-22074;[1]
MKT-22075;[6,7,10]
MKT-22077;[1,4]
MKT-22078;[13]
MKT-22079;[6,8,11]
MKT-22080;[7,9,13]
MKT-22081;[4,6]
MKT-22083;[2]
MKT-22084;[13]
MKT-22085;[1,13]
MKT-22086;[3]
MKT-22087;[4,6,10]
MKT-22088;[1,6,13]
MKT-22089;[3,4,6]
MKT-22090;[4,6]
MKT-22091;[3]
MKT-22093;[11]
MKT-22094;[4]
MKT-22096;[1,4]
MKT-22097;[13]
MKT-22098;[6,8,10]
MKT-22099;[11]
MKT-22100;[4,5,6]
MKT-22101;[3]
MKT-22102;[4]
MKT-22103;[2,3,5]
MKT-22104;[4]
MKT-22105;[2,12,13]
MKT-22106;[3]
MKT-22107;[4,6]
MKT-22108;[4]
MKT-22109;[3]
MKT-22110;[1,4,6]
MKT-22111;[4,6,13]
MKT-22113;[3]
MKT-22115;[1]
MKT-22116;[3]
MKT-22117;[4]
MKT-22118;[3,5,10]
MKT-22119;[4]
MKT-22120;[3,6,7]
MKT-22121;[5,9,13]
MKT-22122;[3]
MKT-22124;[1,6,7]
MKT-22125;[9,13]
MKT-22126;[3]
MKT-22127;[3]
MKT-22129;[1]
MKT-22130;[4,6,10]
MKT-22131;[6,7,10]
MKT-22132;[4]
MKT-22133;[6,11]
MKT-22134;[4,6]
MKT-22135;[4]
MKT-22137;[3,4,6]
MKT-22138;[4,6,10]
MKT-22139;[4,6]
MKT-22142;[1,4]
MKT-22143;[11,13]
MKT-22144;[1]
MKT-22145;[3,4]
MKT-22146;[2,5,6]
MKT-22147;[4,6]
MKT-22148;[2]
MKT-22149;[4]
MKT-22150;[3]
MKT-22151;[8,9]
MKT-22153;[3]
MKT-22154;[3,7]
MKT-22155;[11]
MKT-22158;[2,4,6]
MKT-22159;[2,4,5]
MKT-22160;[10]
MKT-22161;[9,13]
