REVIEWER ID,CATEGORY 1,CATEGORY 2,CATEGORY 3,CATEGORY 4,CATEGORY 5,CATEGORY 6,CATEGORY 7,CATEGORY 8,CATEGORY 9,CATEGORY 10,CATEGORY 11,CATEGORY 12,CATEGORY 13
2,1,0,2,3,0,3,3,5,2,6,4,2,2
4,2,3,4,4,2,0,0,1,0,0,0,0,0
6,3,1,3,5,5,4,4,0,1,2,0,3,2
7,6,5,3,4,4,3,2,2,2,4,2,2,2
9,3,1,6,2,3,1,3,1,0,0,0,0,3
10,4,3,3,5,3,3,1,3,1,1,1,1,1
12,4,3,6,3,4,4,5,3,1,3,2,2,1
13,6,0,3,1,3,3,4,2,3,3,5,4,5
14,3,0,0,0,0,0,1,2,5,0,1,3,6
15,0,1,3,4,0,5,0,2,1,0,0,0,0
17,4,3,4,5,2,6,2,2,1,4,1,1,1
19,1,0,3,5,1,4,0,5,0,5,0,0,0
21,3,1,3,3,3,2,0,2,0,0,0,1,3
26,4,2,3,6,4,4,0,3,0,5,2,0,1
27,3,4,6,2,4,0,2,1,0,3,1,0,0
28,3,2,4,6,4,4,1,4,1,4,0,1,3
29,6,1,4,2,3,1,1,0,1,0,0,0,1
31,5,2,4,5,5,5,2,2,0,5,0,2,0
32,3,3,3,5,5,5,3,5,2,5,2,3,2
33,5,3,4,6,6,2,1,1,0,2,0,0,0
34,4,4,0,5,3,0,0,0,0,3,0,0,0
35,2,0,3,6,1,6,0,3,0,5,0,0,0
36,1,1,1,6,2,4,0,4,0,2,0,0,0
37,3,4,5,6,5,5,0,3,0,3,0,2,0
38,4,1,6,1,1,0,4,0,0,0,0,0,0
39,6,4,6,6,6,4,1,3,0,4,0,0,0
40,2,0,0,0,3,4,2,2,1,0,6,3,3
41,6,1,3,5,2,0,3,0,0,4,0,0,0
42,2,2,2,2,1,4,4,3,6,2,2,4,6
43,3,3,2,6,5,5,1,4,0,6,0,2,1
44,5,0,6,2,2,0,3,0,0,0,0,0,0
45,6,5,2,3,6,2,0,0,0,0,0,0,0
46,3,1,6,3,3,2,4,1,0,2,0,2,0
47,6,1,3,2,3,3,3,1,1,0,0,0,4
48,1,5,1,4,6,4,0,1,0,0,0,0,0
49,4,0,1,0,4,0,0,0,0,0,0,0,0
50,3,1,1,1,1,2,2,2,3,2,1,4,6
51,2,0,6,0,1,0,2,0,0,0,0,0,0
52,5,3,6,1,3,1,3,0,0,1,0,0,0
53,3,3,3,5,6,6,0,1,0,1,0,0,0
54,6,0,6,0,5,4,3,0,0,0,0,0,0
55,4,1,6,3,1,3,4,1,0,0,0,0,0
56,6,0,3,5,5,3,1,3,1,5,1,3,2
57,0,0,4,5,0,4,0,3,3,3,0,2,0
58,3,2,4,6,3,1,3,3,0,1,0,1,0
59,5,2,1,3,4,3,1,1,0,2,0,5,4
61,5,4,3,5,6,3,1,2,1,3,1,2,1
